tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitSteps
166.00,2/2to2/1_0,90.50,13.79,63.00,0.00,gneE22_0,5.10,0.00,tripinfo_63,103.00,63,0,431.15,1.00,71.11,DEFAULT_VEHTYPE,,47
166.00,gneE7_0,45.25,12.72,60.00,1.00,-gneE9_0,5.10,0.00,tripinfo_59,106.00,59,0,290.40,1.00,84.63,DEFAULT_VEHTYPE,,51
168.00,-gneE23_0,45.25,13.67,60.00,0.00,-gneE12_0,5.10,0.00,tripinfo_60,108.00,60,0,386.18,1.00,78.83,DEFAULT_VEHTYPE,,51
169.00,gneE12_0,45.25,12.66,40.00,0.00,gneE23_0,5.10,0.00,tripinfo_40,129.00,40,0,391.22,1.00,100.24,DEFAULT_VEHTYPE,,74
169.00,gneE8_0,45.25,13.36,25.00,0.00,-gneE5_0,5.10,0.00,tripinfo_25,144.00,25,0,290.56,1.00,122.13,DEFAULT_VEHTYPE,,94
171.00,gneE8_0,45.25,13.24,39.00,3.00,-gneE7_0,5.10,0.00,tripinfo_36,132.00,36,0,284.50,1.00,109.99,DEFAULT_VEHTYPE,,81
174.00,gneE9_0,45.25,13.06,107.00,7.00,-gneE7_0,5.10,0.00,tripinfo_100,67.00,100,0,288.84,1.00,45.04,DEFAULT_VEHTYPE,,16
175.00,gneE9_0,45.25,13.32,53.00,3.00,1/0to0/0_0,5.10,0.00,tripinfo_50,122.00,50,0,531.15,1.00,83.67,DEFAULT_VEHTYPE,,52
177.00,gneE9_0,45.25,12.87,71.00,0.00,-gneE9_0,5.10,0.00,tripinfo_71,106.00,71,0,287.81,1.00,84.80,DEFAULT_VEHTYPE,,40
178.00,-gneE19_0,45.25,13.09,87.00,0.00,-gneE14_0,5.10,0.00,tripinfo_87,91.00,87,0,386.18,1.00,61.88,DEFAULT_VEHTYPE,,39
186.00,gneE14_0,45.25,13.64,122.00,0.00,-gneE13_0,5.10,0.00,tripinfo_122,64.00,122,0,90.40,1.00,57.26,DEFAULT_VEHTYPE,,49
187.00,-gneE20_0,45.25,13.31,96.00,0.00,gneE23_0,5.10,0.00,tripinfo_96,91.00,96,0,294.90,1.00,69.02,DEFAULT_VEHTYPE,,54
187.00,gneE11_0,45.25,12.64,125.00,0.00,-gneE12_0,5.10,0.00,tripinfo_125,62.00,125,0,95.72,1.00,54.66,DEFAULT_VEHTYPE,,45
188.00,-gneE23_0,45.25,13.17,82.00,0.00,gneE20_0,5.10,0.00,tripinfo_82,106.00,82,0,294.90,1.00,84.66,DEFAULT_VEHTYPE,,60
189.00,-gneE20_0,45.25,13.44,43.00,0.00,-gneE14_0,5.10,0.00,tripinfo_43,146.00,43,0,390.40,1.00,117.19,DEFAULT_VEHTYPE,,94
190.00,1/0to1/1_0,90.50,13.65,137.00,0.00,gneE22_0,5.10,0.00,tripinfo_137,53.00,137,0,140.15,1.00,42.47,DEFAULT_VEHTYPE,,33
191.00,-gneE20_0,45.25,13.11,86.00,0.00,0/1to0/0_0,5.10,0.00,tripinfo_86,105.00,86,0,428.84,1.00,73.19,DEFAULT_VEHTYPE,,48
192.00,1/1to0/1_0,90.50,8.35,68.00,0.00,-gneE7_0,5.10,0.00,tripinfo_68,124.00,68,0,328.84,1.00,99.19,DEFAULT_VEHTYPE,,66
192.00,gneE9_0,45.25,12.85,140.00,0.00,-gneE8_0,5.10,0.00,tripinfo_140,52.00,140,0,95.72,1.00,44.53,DEFAULT_VEHTYPE,,37
194.00,-gneE19_0,45.25,12.79,112.00,0.00,-gneE12_0,5.10,0.00,tripinfo_112,82.00,112,0,390.40,1.00,53.41,DEFAULT_VEHTYPE,,34
204.00,-gneE22_0,45.25,13.48,57.00,1.00,-gneE9_0,5.10,0.00,tripinfo_56,147.00,56,0,390.68,1.00,117.54,DEFAULT_VEHTYPE,,82
204.00,gneE14_0,45.25,13.29,194.00,0.00,-gneE13_0,5.10,0.00,tripinfo_194,10.00,194,0,90.40,1.00,3.21,DEFAULT_VEHTYPE,,0
206.00,-gneE22_0,45.25,13.52,107.00,0.00,-gneE8_0,5.10,0.00,tripinfo_107,99.00,107,0,386.18,1.00,69.94,DEFAULT_VEHTYPE,,43
210.00,-gneE22_0,45.25,13.81,171.00,0.00,gneE19_0,5.10,0.00,tripinfo_171,39.00,171,0,294.90,1.00,17.54,DEFAULT_VEHTYPE,,1
214.00,gneE14_0,45.25,12.89,203.00,0.00,-gneE13_0,5.10,0.00,tripinfo_203,11.00,203,0,90.40,1.00,3.58,DEFAULT_VEHTYPE,,0
215.00,-gneE19_0,45.25,13.11,188.00,19.00,gneE22_0,5.10,0.00,tripinfo_169,27.00,169,0,294.90,1.00,5.25,DEFAULT_VEHTYPE,,0
230.00,1/0to2/0_0,90.50,7.40,141.00,0.00,gneE22_0,5.10,0.00,tripinfo_141,89.00,141,0,135.65,1.00,78.98,DEFAULT_VEHTYPE,,66
231.00,2/1to2/2_0,90.50,8.60,166.00,0.00,gneE22_0,5.10,0.00,tripinfo_166,65.00,166,0,331.43,1.00,40.24,DEFAULT_VEHTYPE,,23
